date,close
01/02/2026,14.51
01/05/2026,14.9
01/06/2026,14.75
01/07/2026,15.38
01/08/2026,15.45
01/09/2026,14.49
01/12/2026,15.12
01/13/2026,15.98
01/14/2026,16.75
01/15/2026,15.84
01/16/2026,15.86
01/19/2026,18.84
01/20/2026,20.09
01/21/2026,16.9
01/22/2026,15.64
01/23/2026,16.09
01/26/2026,16.15
01/27/2026,16.35
01/28/2026,16.35
01/29/2026,16.88
01/30/2026,17.44
02/02/2026,16.34
02/03/2026,18.0
02/04/2026,18.64
02/05/2026,21.77
02/06/2026,17.76
02/09/2026,17.36
02/10/2026,17.79
02/11/2026,17.65
02/12/2026,20.82
02/13/2026,20.6
02/16/2026,21.2
02/17/2026,20.29
02/18/2026,19.62
02/19/2026,20.23
02/20/2026,19.09
02/23/2026,21.01
02/24/2026,19.55
02/25/2026,17.93
02/26/2026,18.63
02/27/2026,19.86
03/02/2026,21.44
03/03/2026,23.57
03/04/2026,21.15
03/05/2026,23.75
03/06/2026,29.49
03/09/2026,25.5
03/10/2026,24.93
03/11/2026,24.23
03/12/2026,27.29
03/13/2026,27.19
03/16/2026,23.51
03/17/2026,22.37
03/18/2026,25.09
03/19/2026,24.06
03/20/2026,26.78
03/23/2026,26.15
03/24/2026,26.95
03/25/2026,25.33
03/26/2026,27.44
03/27/2026,31.05
03/30/2026,30.61
03/31/2026,25.25
04/01/2026,24.54
04/02/2026,23.87
04/06/2026,24.17
04/07/2026,25.78
04/08/2026,21.04
04/09/2026,19.49
04/10/2026,19.23
04/13/2026,19.12
04/14/2026,18.36
04/15/2026,18.17
04/16/2026,17.94
04/17/2026,17.48
04/20/2026,18.87
04/21/2026,19.5
04/22/2026,18.92
04/23/2026,19.31
04/24/2026,18.71
04/27/2026,18.02
04/28/2026,17.83
04/29/2026,18.81
04/30/2026,16.89
05/01/2026,16.99
05/04/2026,18.29
05/05/2026,17.38
05/06/2026,17.39
05/07/2026,17.08
05/08/2026,17.19
05/11/2026,18.38
05/12/2026,17.99
05/13/2026,17.87
05/14/2026,17.26
05/15/2026,18.43
05/18/2026,17.82
05/19/2026,18.06
05/20/2026,17.44
05/21/2026,16.76
05/22/2026,16.7
05/25/2026,16.59
05/26/2026,17.01
05/27/2026,16.29
05/28/2026,15.74
05/29/2026,15.32
06/01/2026,16.05
06/02/2026,15.77
06/03/2026,16.06
06/04/2026,15.4
06/05/2026,21.51
06/05/2026,21.51
06/05/2026,21.51
06/05/2026,21.51
06/05/2026,21.51
06/08/2026,18.92
